1850,b6
1851,b4
1852,b4
1853,b5
1854,b5
1855,b5
1856,b6
1857,b7
1858,b7
1859,b5
1860,b6
1861,b6
1862,b8
1863,b5
1864,b7
1865,b5
1866,b5
1867,b5
1868,b4
1869,b5
1870,b5
1871,b6
1872,b4
1873,b5
1874,b6
1875,b6
1876,b6
1877,b3
1878,b1
1879,b4
1880,b4
1881,b4
1882,b4
1883,b5
1884,b6
1885,b6
1886,b6
1887,b7
1888,b5
1889,b4
1890,b6
1891,b6
1892,b7
1893,b7
1894,b6
1895,b6
1896,b4
1897,b4
1898,b6
1899,b5
1900,b4
1901,b5
1902,b6
1903,b7
1904,b8
1905,b6
1906,b5
1907,b7
1908,b8
1909,b8
1910,b7
1911,b8
1912,b7
1913,b7
1914,b5
1915,b3
1916,b6
1917,b7
1918,b6
1919,b5
1920,b5
1921,b4
1922,b5
1923,b5
1924,b5
1925,b4
1926,b3
1927,b4
1928,b4
1929,b6
1930,b3
1931,b3
1932,b3
1933,b5
1934,b3
1935,b4
1936,b3
1937,b2
1938,b2
1939,b2
1940,b2
1941,b2
1942,b2
1943,b2
1944,r1
1945,b1
1946,b3
1947,b2
1948,b2
1949,b3
1950,b4
1951,b2
1952,b1
1953,b1
1954,b3
1955,b4
1956,b5
1957,b2
1958,b1
1959,b2
1960,b2
1961,b1
1962,b2
1963,b1
1964,b4
1965,b3
1966,b3
1967,b3
1968,b3
1969,b1
1970,b2
1971,b4
1972,b2
1973,b1
1974,b4
1975,b3
1976,b4
1977,b1
1978,b2
1979,b1
1980,b1
1981,r1
1982,b2
1983,r1
1984,b2
1985,b2
1986,b1
1987,r1
1988,r2
1989,r1
1990,r3
1991,r2
1992,b1
1993,r1
1994,r2
1995,r3
1996,r1
1997,r4
1998,r5
1999,r3
2000,r3
2001,r4
2002,r5
2003,r5
2004,r4
2005,r5
2006,r5
2007,r5
2008,r4
2009,r5
2010,r6
2011,r4
2012,r5
2013,r5
2014,r6
2015,r8
2016,r8
2017,r7
2018,r6
2019,r8
